0.0e0 0.0e0 0.0e0 0.0e0
1.0e-1 0.0e0 4.294502e-2 4.294502e-2
2.0e-1 0.0e0 8.224998e-2 8.224998e-2
3.0e-1 0.0e0 1.1820999e-1 1.1820999e-1
4.0e-1 0.0e0 1.5112503e-1 1.5112503e-1
5.0e-1 0.0e0 1.8112999e-1 1.8112999e-1
6.0e-1 0.0e0 2.0858002e-1 2.0858002e-1
7.0e-1 0.0e0 2.3364502e-1 2.3364502e-1
8.0e-1 0.0e0 2.5658997e-1 2.5658997e-1
9.0e-1 0.0e0 2.7754997e-1 2.7754997e-1
1.0e0 0.0e0 2.9670502e-1 2.9670502e-1
1.1e0 0.0e0 3.1420998e-1 3.1420998e-1
1.2e0 0.0e0 3.3015999e-1 3.3015999e-1
1.3e0 0.0e0 3.4482002e-1 3.4482002e-1
1.4e0 0.0e0 3.5817001e-1 3.5817001e-1
1.5e0 0.0e0 3.7037003e-1 3.7037003e-1
1.6e0 0.0e0 3.8152496e-1 3.8152496e-1
1.7e0 0.0e0 3.9172997e-1 3.9172997e-1
1.8e0 0.0e0 4.0102997e-1 4.0102997e-1
1.9e0 0.0e0 4.0958504e-1 4.0958504e-1
2.0e0 0.0e0 4.1733498e-1 4.1733498e-1
2.1e0 0.0e0 4.2448502e-1 4.2448502e-1
2.2e0 0.0e0 4.3098503e-1 4.3098503e-1
2.3e0 0.0e0 4.3693497e-1 4.3693497e-1
2.4e0 0.0e0 4.4233498e-1 4.4233498e-1
2.5e0 0.0e0 4.4728996e-1 4.4728996e-1
2.6e0 0.0e0 4.518371e-1 4.518371e-1
2.7e0 0.0e0 4.5598232e-1 4.5598232e-1
2.8e0 0.0e0 4.5977147e-1 4.5977147e-1
2.9e0 0.0e0 4.6323376e-1 4.6323376e-1
3.0e0 0.0e0 4.663982e-1 4.663982e-1
3.1e0 0.0e0 4.6929012e-1 4.6929012e-1
3.2e0 0.0e0 4.7193347e-1 4.7193347e-1
3.3e0 0.0e0 4.7434901e-1 4.7434901e-1
3.4e0 0.0e0 4.7655676e-1 4.7655676e-1
3.5e0 0.0e0 4.7857439e-1 4.7857439e-1
3.6e0 0.0e0 4.8041878e-1 4.8041878e-1
3.7e0 0.0e0 4.8210417e-1 4.8210417e-1
3.8e0 0.0e0 4.8364444e-1 4.8364444e-1
3.9e0 0.0e0 4.8505208e-1 4.8505208e-1
4.0e0 0.0e0 4.8633867e-1 4.8633867e-1
4.1e0 0.0e0 4.875145e-1 4.875145e-1
4.2e0 0.0e0 4.8858897e-1 4.8858897e-1
4.3e0 0.0e0 4.8957118e-1 4.8957118e-1
4.4e0 0.0e0 4.9046895e-1 4.9046895e-1
4.5e0 0.0e0 4.912892e-1 4.912892e-1
4.6e0 0.0e0 4.9203897e-1 4.9203897e-1
4.7e0 0.0e0 4.9272412e-1 4.9272412e-1
4.8e0 0.0e0 4.9335039e-1 4.9335039e-1
4.9e0 0.0e0 4.9392268e-1 4.9392268e-1
5.0e0 0.0e0 4.9444572e-1 4.9444572e-1

0.0e0 1.0e-1 1.966998e-2 1.966998e-2
1.0e-1 1.0e-1 6.183002e-2 6.183002e-2
2.0e-1 1.0e-1 1.0038501e-1 1.0038501e-1
3.0e-1 1.0e-1 1.3564998e-1 1.3564998e-1
4.0e-1 1.0e-1 1.6785503e-1 1.6785503e-1
5.0e-1 1.0e-1 1.9726001e-1 1.9726001e-1
6.0e-1 1.0e-1 2.2417003e-1 2.2417003e-1
7.0e-1 1.0e-1 2.4877002e-1 2.4877002e-1
8.0e-1 1.0e-1 2.71235e-1 2.71235e-1
9.0e-1 1.0e-1 2.91785e-1 2.91785e-1
1.0e0 1.0e-1 3.1054004e-1 3.1054004e-1
1.1e0 1.0e-1 3.277e-1 3.277e-1
1.2e0 1.0e-1 3.434e-1 3.434e-1
1.3e0 1.0e-1 3.5770503e-1 3.5770503e-1
1.4e0 1.0e-1 3.7080501e-1 3.7080501e-1
1.5e0 1.0e-1 3.8276004e-1 3.8276004e-1
1.6e0 1.0e-1 3.9370998e-1 3.9370998e-1
1.7e0 1.0e-1 4.0370998e-1 4.0370998e-1
1.8e0 1.0e-1 4.1286502e-1 4.1286502e-1
1.9e0 1.0e-1 4.2121997e-1 4.2121997e-1
